# benders_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 50	4	50
-1.5	0	0	-1.50482025610994
-1.5	0	1	-1.50483557909993
-1.5	0	2	-1.5048588854965
-1.5	0	3	-1.50489931758778
-1.5	0	4	-1.50491708710561
-1.5	0	5	-1.50495056590733
-1.5	0	6	-1.50496048078322
-1.5	0	7	-1.50498874461775
-1.5	0	8	-1.50502338230108
-1.5	0	9	-1.50507649770767
-1.5	0	10	-1.50509085496304
-1.5	0	11	-1.50511068471484
-1.5	0	12	-1.5051453867805
-1.5	0	13	-1.50515098804157
-1.5	0	14	-1.50517435882049
-1.5	0	15	-1.50519328721994
-1.5	0	16	-1.50523004951958
-1.5	0	17	-1.50526449405602
-1.5	0	18	-1.5052898606866
-1.5	0	19	-1.50532308195914
-1.5	0	20	-1.50534342676945
-1.5	0	21	-1.50537677680663
-1.5	0	22	-1.50539873117473
-1.5	0	23	-1.50542306768835
-1.5	0	24	-1.50545532322625
-1.5	0	25	-1.50549395261297
-1.5	0	26	-1.50553747505534
-1.5	0	27	-1.50555466513244
-1.5	0	28	-1.50556786350624
-1.5	0	29	-1.50558692067036
-1.5	0	30	-1.50562735276182
-1.5	0	31	-1.50565065915849
-1.5	0	32	-1.50568246402025
-1.5	0	33	-1.50570654300467
-1.5	0	34	-1.50572759602047
-1.5	0	35	-1.50575714750135
-1.5	0	36	-1.50577800737021
-1.5	0	37	-1.50580221511926
-1.5	0	38	-1.50583170221785
-1.5	0	39	-1.50585294838059
-1.5	0	40	-1.50585957975865
-1.5	0	41	-1.50590162140796
-1.5	0	42	-1.50593902753086
-1.5	0	43	-1.50595190399313
-1.5	0	44	-1.5059890525868
-1.5	0	45	-1.50600489063541
-1.5	0	46	-1.50603663111492
-1.5	0	47	-1.50606148268713
-1.5	0	48	-1.50607828647041
-1.5	0	49	-1.50609998330936

-1.5	1	0	-1.468910576134
-1.5	1	1	-1.40867927306592
-1.5	1	2	-1.34847245504945
-1.5	1	3	-1.28825870255188
-1.5	1	4	-1.227856521114
-1.5	1	5	-1.16765091546263
-1.5	1	6	-1.10744011069039
-1.5	1	7	-1.0472079458843
-1.5	1	8	-0.987008629848636
-1.5	1	9	-0.926879116925738
-1.5	1	10	-0.866666176622913
-1.5	1	11	-0.806459041614951
-1.5	1	12	-0.74623285941842
-1.5	1	13	-0.686016279089584
-1.5	1	14	-0.625845289225797
-1.5	1	15	-0.565645913811862
-1.5	1	16	-0.505447832008476
-1.5	1	17	-0.44524338136175
-1.5	1	18	-0.385024255601024
-1.5	1	19	-0.32481781611904
-1.5	1	20	-0.264626122154376
-1.5	1	21	-0.204416144721132
-1.5	1	22	-0.144179577547041
-1.5	1	23	-0.0839762949645584
-1.5	1	24	-0.0237477726896118
-1.5	1	25	0.0365135873513706
-1.5	1	26	0.0967105692200757
-1.5	1	27	0.156921591262925
-1.5	1	28	0.217113111401988
-1.5	1	29	0.27733605685514
-1.5	1	30	0.337475764091032
-1.5	1	31	0.397640782309515
-1.5	1	32	0.457849203878353
-1.5	1	33	0.518057056804739
-1.5	1	34	0.578264857138883
-1.5	1	35	0.638475116766494
-1.5	1	36	0.698633369353293
-1.5	1	37	0.758825823606597
-1.5	1	38	0.819042694438673
-1.5	1	39	0.879220115692737
-1.5	1	40	0.939487561018583
-1.5	1	41	0.999640489001573
-1.5	1	42	1.05980302959277
-1.5	1	43	1.12004439477776
-1.5	1	44	1.18020124761676
-1.5	1	45	1.24040595915054
-1.5	1	46	1.30068949834815
-1.5	1	47	1.36083277293252
-1.5	1	48	1.42104322395267
-1.5	1	49	1.48120374074322

-1.5	2	0	0.00740007908691436
-1.5	2	1	0.00757333123737421
-1.5	2	2	0.00767653569565156
-1.5	2	3	0.00782358434363985
-1.5	2	4	0.00794938690853215
-1.5	2	5	0.00803990809904059
-1.5	2	6	0.00819989754316734
-1.5	2	7	0.00825410724617268
-1.5	2	8	0.00839767926246056
-1.5	2	9	0.0082234613808449
-1.5	2	10	0.00856629590405643
-1.5	2	11	0.00880038911093797
-1.5	2	12	0.00888575973591098
-1.5	2	13	0.00903416040754308
-1.5	2	14	0.00917193803762002
-1.5	2	15	0.00927205215668669
-1.5	2	16	0.00939882045280208
-1.5	2	17	0.00950460019406139
-1.5	2	18	0.00962415769834493
-1.5	2	19	0.00976335173404882
-1.5	2	20	0.00985026752878059
-1.5	2	21	0.010008132364871
-1.5	2	22	0.0100879661319049
-1.5	2	23	0.0100960138906996
-1.5	2	24	0.00995360075142761
-1.5	2	25	0.0099810275133215
-1.5	2	26	0.0104963416032371
-1.5	2	27	0.0107057120955739
-1.5	2	28	0.0108487046735656
-1.5	2	29	0.010968905998708
-1.5	2	30	0.0110650284295889
-1.5	2	31	0.0111877406554983
-1.5	2	32	0.0112917820810453
-1.5	2	33	0.0114776531179159
-1.5	2	34	0.0116002365797331
-1.5	2	35	0.0117022821611386
-1.5	2	36	0.011857636096762
-1.5	2	37	0.0119330918831573
-1.5	2	38	0.0120891540215862
-1.5	2	39	0.0122514612208764
-1.5	2	40	0.0123238266679143
-1.5	2	41	0.0124607029494451
-1.5	2	42	0.0125563103239028
-1.5	2	43	0.0126650516407155
-1.5	2	44	0.0128176371474636
-1.5	2	45	0.0129342974589616
